BOBAFETT,7
ASAJVENTRESS,7
CT5555,7
KYLOREN,7
ANAKINKNIGHT,7
PHASMA,7
WEDGEANTILLES,7
CHIRRUTIMWE,7
CASSIANANDOR,7
MAUL,7
SAVAGEOPRESS,7
POE,7
HK47,7
CADBANE,7
REY,6
BIGGSDARKLIGHTER,7
CC2224,6
JYNERSO,6
VADER,6
PLOKOON,6
DAKA,6
DARTHNIHILUS,4
GARSAXON,4
GRANDMOFFTARKIN,6
SHORETROOPER,4
BARRISSOFFEE,5
FINN,5
STORMTROOPERHAN,4
AAYLASECURA,4
JEDIKNIGHTCONSULAR,5
MACEWINDU,5
IG88,4
CLONEWARSCHEWBACCA,5
EZRABRIDGERS3,4
FIRSTORDERTIEPILOT,4
SABINEWRENS3,3
ADMIRALACKBAR,5
AHSOKATANO,5
GRIEVOUS,4
RESISTANCEPILOT,5
TALIA,4
ROYALGUARD,5
FULCRUMAHSOKA,3
SMUGGLERHAN,3
OLDBENKENOBI,4
CLONESERGEANTPHASEI,4
EMPERORPALPATINE,6
K2SO,4
LUKESKYWALKER,4
SNOWTROOPER,5
JAWASCAVENGER,5
IG86SENTINELDROID,5
TIEFIGHTERPILOT,3
CT7567,5
DENGAR,3
PRINCESSLEIA,2
MOTHERTALZIN,3
IMPERIALSUPERCOMMANDO,3
AMILYNHOLDO,3
POGGLETHELESSER,5
EWOKSCOUT,4
CT210408,4
TEEBO,4
HOTHREBELSOLDIER,3
STORMTROOPER,5
URORRURRR,5
HERASYNDULLAS3,3
LUMINARAUNDULI,4
ZEBS3,4
MAGNAGUARD,4
EWOKELDER,4
WICKET,4
GEONOSIANSOLDIER,1
MAGMATROOPER,3
KYLORENUNMASKED,3
FIRSTORDERSPECIALFORCESPILOT,3
SMUGGLERCHEWBACCA,3
PAPLOO,3
CHOPPERS3,3
HOTHREBELSCOUT,3
NIGHTSISTERSPIRIT,3
DARTHSION,3
FIRSTORDEROFFICERMALE,3
VEERS,3
JEDIKNIGHTGUARDIAN,3
KANANJARRUSS3,3
LOGRAY,3
ROSETICO,3
SITHMARAUDER,3
SITHTROOPER,3
VISASMARR,3
BISTAN,2
HUMANTHUG,2
NIGHTSISTERZOMBIE,2
DEATHTROOPER,2
FIRSTORDEREXECUTIONER,2
BODHIROOK,2
CORUSCANTUNDERWORLDPOLICE,2
GREEDO,2
JAWA,2
QUIGONJINN,2
RESISTANCETROOPER,2
NIGHTSISTERINITIATE,1
